Timestamp,M1,M2,C1,C2
16972,0,-1,7,1
16978,0,-1,7,1
16985,0,-1,7,1
16990,1,-1,7,1
16997,1,-1,7,1
17003,0,-1,7,1
17009,1,-1,7,1
17014,1,-1,7,1
17020,1,-1,7,1
17026,1,-1,7,1
17033,1,-1,7,1
17039,1,-1,7,1
17045,0,-1,7,1
17050,0,-1,7,1
17056,1,-1,7,1
17063,1,-1,7,1
17069,0,-1,7,1
17075,1,-1,7,1
17081,0,-1,7,1
17087,0,-1,7,1
17092,1,-1,7,1
17098,1,-1,7,1
17104,1,-1,7,1
17111,1,-1,7,1
17117,0,-1,7,1
17123,0,-1,7,1
17129,0,-1,7,1
17135,1,-1,7,1
17141,0,-1,7,1
17146,0,-1,7,1
17152,0,-1,7,1
17158,0,-1,7,1
17164,0,-1,7,1
17171,0,-1,7,1
17176,1,-1,7,1
17182,1,-1,7,1
17188,0,-1,7,1
17194,0,-1,7,1
17200,1,-1,7,1
17206,1,-1,7,1
17212,0,-1,7,1
17218,0,-1,7,1
17224,1,-1,7,1
17230,0,-1,7,1
17236,0,-1,7,1
17242,1,-1,7,1
17248,1,-1,7,1
17254,1,-1,7,1
17260,0,-1,7,1
17266,0,-1,7,1
17272,1,-1,7,1
17278,1,-1,7,1
17284,1,-1,7,1
17290,0,-1,7,1
17296,1,-1,7,1
17302,1,-1,7,1
17308,0,-1,7,1
17314,0,-1,7,1
17320,0,-1,7,1
17326,1,-1,7,1
17332,0,-1,7,1
17338,0,-1,7,1
17344,0,-1,7,1
17350,0,-1,7,1
17356,0,-1,7,1
17362,1,-1,7,1
17368,1,-1,7,1
17374,0,-1,7,1
17380,0,-1,7,1
17386,1,-1,7,1
17392,0,-1,7,1
17398,1,-1,7,1
17404,1,-1,7,1
17410,1,-1,7,1
17416,0,-1,7,1
17422,1,-1,7,1
17428,1,-1,7,1
17434,0,-1,7,1
17440,1,-1,7,1
17446,1,-1,7,1
17452,1,-1,7,1
17458,1,-1,7,1
17464,1,-1,7,1
17470,1,-1,7,1
17476,1,-1,7,1
17482,0,-1,7,1
17488,0,-1,7,1
17494,1,-1,7,1
17500,1,-1,7,1
17506,0,-1,7,1
17512,0,-1,7,1
17517,0,-1,7,1
17523,0,-1,7,1
17530,0,-1,7,1
17536,0,-1,7,1
17542,1,-1,7,1
17548,0,-2,7,1
17554,0,-1,7,1
17560,0,-1,7,1
17566,0,-1,7,1
17572,0,-1,7,1
17578,0,-1,7,1
17584,1,-1,7,1
17589,1,-1,7,1
17595,1,-1,7,1
17602,0,-1,7,1
17608,0,-1,7,1
17614,1,-1,7,1
17620,0,-1,7,1
17626,0,-1,7,1
17632,0,-1,7,1
17638,0,-1,7,1
17644,0,-1,7,1
17650,0,-1,7,1
17656,0,-1,7,1
17662,0,-1,7,1
17668,1,-1,7,1
17674,1,-1,7,1
17680,0,-1,7,1
17685,0,-1,7,1
17691,0,-1,7,1
17697,1,-1,7,1
17704,1,-1,7,1
17710,0,-1,7,1
17716,1,-1,7,1
17722,1,-1,7,1
17728,1,-1,7,1
17734,1,-1,7,1
17740,0,-1,7,1
17746,0,-1,7,1
17751,0,-1,7,1
17758,0,-1,7,1
17763,0,-1,7,1
17770,0,-1,7,1
17776,1,-1,7,1
17782,1,-1,7,1
17787,1,-1,7,1
17794,1,-1,7,1
17800,0,-1,7,1
17806,1,-1,7,1
17811,1,-1,7,1
17818,0,-1,7,1
17824,1,-1,7,1
17830,0,-1,7,1
17836,0,-1,7,1
17842,0,-1,7,1
17848,0,-1,7,1
17854,1,-1,7,1
17860,0,-1,7,1
17866,1,-1,7,1
17872,1,-1,7,1
17878,1,-1,7,1
17884,0,-1,7,1
17889,0,-1,7,1
17896,0,-1,7,1
17902,0,-1,7,1
17908,1,-1,7,1
17914,0,-1,7,1
17920,0,-1,7,1
17926,1,-1,7,1
17932,1,-1,7,1
17937,1,-1,7,1
17943,1,-1,7,1
17950,1,-1,7,1
17955,0,-1,7,1
17961,1,-1,7,1
17968,0,-1,7,1
17974,0,-1,7,1
17980,0,-1,7,1
17985,1,-1,7,1
17992,1,-1,7,1
17998,0,-1,7,1
18003,1,-1,7,1
18009,0,-1,7,1
18015,0,-1,7,1
18022,0,-1,7,1
18028,1,-1,7,1
18034,1,-1,7,1
18040,1,-1,7,1
18046,1,-1,7,1
18052,0,-1,7,1
18057,0,-1,7,1
18063,0,-1,7,1
18069,0,-1,7,1
18075,0,-1,7,1
18081,0,-1,7,1
18087,0,-1,7,1
18094,0,-1,7,1
18099,0,-1,7,1
18105,0,-1,7,1
18112,0,-1,7,1
18118,0,-1,7,1
18124,0,-1,7,1
18129,1,-1,7,1
18135,1,-1,7,1
18141,0,-1,7,1
18147,1,-1,7,1
18153,1,-1,7,1
18159,0,-1,7,1
18165,1,-1,7,1
18171,0,-1,7,1
18177,1,-1,7,1
18183,1,-1,7,1
18189,0,-1,7,1
18195,1,-1,7,1
18201,0,-1,7,1
18207,0,-1,7,1
18213,0,-1,7,1
18219,0,-1,7,1
18225,1,-1,7,1
18231,1,-1,7,1
18237,0,-1,7,1
18243,0,-1,7,1
18249,1,-1,7,1
18255,1,-1,7,1
18261,0,-1,7,1
18267,1,-1,7,1
18273,0,-1,7,1
18279,0,-1,7,1
18285,0,-1,7,1
18291,0,-1,7,1
18297,0,-1,7,1
18303,0,-1,7,1
18309,0,-2,7,1
18315,1,-1,7,1
18321,0,-1,7,1
18327,1,-1,7,1
18333,0,-1,7,1
18339,0,-1,7,1
18345,1,-1,7,1
18351,0,-1,7,1
18357,1,-1,7,1
18363,1,-1,7,1
18369,1,-1,7,1
18375,1,-1,7,1
18381,1,-1,7,1
18387,0,-1,7,1
18393,0,-1,7,1
18398,1,-1,7,1
18405,0,-1,7,1
18411,1,-1,7,1
18417,1,-1,7,1
18423,1,-1,7,1
18429,1,-1,7,1
18435,0,-1,7,1
18441,1,-1,7,1
18446,0,-1,7,1
18453,0,-1,7,1
18458,0,-1,7,1
18464,0,-1,7,1
18471,0,-1,7,1
18477,0,-1,7,1
18483,0,-1,7,1
18489,0,-1,7,1
18495,0,-1,7,1
18501,0,-1,7,1
18507,1,-1,7,1
18513,0,-1,7,1
18519,1,-1,7,1
18524,1,-1,7,1
18530,0,-1,7,1
18537,1,-1,7,1
18543,0,-1,7,1
18549,1,-1,7,1
